"","evolution","alpha","Vo","Ve","Gradient"
"78",78,84.8622881839647,58.8622881839648,33.8622881839648,24.886858772934
"79",79,84.8537248947372,58.8537248947372,33.8537248947372,15.3535485153492
"80",80,84.8443969466886,58.8443969466886,33.8443969466886,4.97086329617654
"81",81,84.8354114276348,58.8354114276348,33.8354114276348,-5.02797704269128
"82",82,84.827737403,58.8277374030001,33.8277374030001,-13.5647107126284
"83",83,84.8221105116537,58.8221105116537,33.8221105116537,-19.8222769577269
"84",84,84.8189722682243,58.8189722682243,33.8189722682243,-23.3114809920507
"85",85,84.8184476148027,58.8184476148028,33.8184476148028,-23.8947503518706
"86",86,84.8203596552243,58.8203596552244,33.8203596552244,-21.7690099938826
"87",87,84.8242765130074,58.8242765130074,33.8242765130074,-17.4137106494024
"88",88,84.8295822246549,58.8295822246549,33.8295822246549,-11.5127529947106
"89",89,84.8355616975535,58.8355616975536,33.8355616975536,-4.86078701017133
"90",90,84.8414890965924,58.8414890965924,33.8414890965924,1.73475734616787
"91",91,84.8467095539831,58.8467095539831,33.8467095539831,7.54473174160478
"92",92,84.8507056970345,58.8507056970345,33.8507056970345,11.9927036481944
"93",93,84.8531429168464,58.8531429168464,33.8531429168464,14.7056981062101
"94",94,84.8538902170647,58.8538902170647,33.8538902170647,15.5375846341962
"95",95,84.8530165017999,58.8530165017999,33.8530165017999,14.5649755084758
"96",96,84.850764923358,58.850764923358,33.850764923358,12.058629751953
"97",97,84.8475101240008,58.8475101240008,33.8475101240008,8.43578268714696
"98",98,84.843704678317,58.843704678317,33.843704678317,4.2004211927267
"99",99,84.8398216806254,58.8398216806254,33.8398216806254,-0.120750612219967
"100",100,84.8363002277873,58.8363002277873,33.8363002277873,-4.03908568887576
"101",101,84.8334996142735,58.8334996142736,33.8334996142736,-7.1549711763096
"102",102,84.8316665530937,58.8316665530937,33.8316665530937,-9.19419485061176
"103",103,84.830917886905,58.830917886905,33.830917886905,-10.0270176473473
"104",104,84.8312393024381,58.8312393024381,33.8312393024381,-9.66947546764867
"105",105,84.8324987381199,58.8324987381199,33.8324987381199,-8.2684340274536
"106",106,84.8344716679932,58.8344716679932,33.8344716679932,-6.0735297490703
"107",107,84.8368743871527,58.8368743871527,33.8368743871527,-3.40025037754839
"108",108,84.8394008866257,58.8394008866257,33.8394008866257,-0.588995570272124
"109",109,84.8417589007031,58.8417589007031,33.8417589007031,2.0350061492121
"110",110,84.8437011928986,58.8437011928986,33.8437011928986,4.19654222740739
"111",111,84.8450490245738,58.8450490245738,33.8450490245738,5.69659086871869
"112",112,84.8457058923113,58.8457058923113,33.8457058923113,6.42766311999554
"113",113,84.8456608756405,58.8456608756405,33.8456608756405,6.37756060497235
"114",114,84.8449821544095,58.8449821544095,33.8449821544095,5.62216734203774
"115",115,84.8438023013551,58.8438023013551,33.8438023013551,4.30906724862604
"116",116,84.8422977283508,58.8422977283508,33.8422977283508,2.63464288755855
"117",117,84.8406651026281,58.8406651026281,33.8406651026281,0.817800291986907
"118",118,84.8390976331912,58.8390976331912,33.8390976331912,-0.926441248877139
"119",119,84.8377638801286,58.8377638801286,33.8377638801286,-2.4105340377262
"120",120,84.8367912182453,58.8367912182453,33.8367912182453,-3.4927886601091
"121",121,84.8362553747976,58.8362553747976,33.8362553747976,-4.08899054607273
"122",122,84.8361766563147,58.8361766563147,33.8361766563147,-4.17657501947366
"123",123,84.8365226799973,58.8365226799973,33.8365226799973,-3.79157706919119
"124",124,84.8372167192554,58.8372167192553,33.8372167192553,-3.01934992715798
"125",125,84.8381502299729,58.8381502299729,33.8381502299729,-1.98064236133912
"126",126,84.839197788962,58.839197788962,33.839197788962,-0.814993169545484
"127",127,84.840232566959,58.840232566959,33.840232566959,0.336475931486274
"128",128,84.8411405673432,58.8411405673432,33.8411405673432,1.34690395826991
"129",129,84.8418321572969,58.8418321572969,33.8418321572969,2.11652946742706
"130",130,84.8422498512081,58.8422498512081,33.8422498512081,2.58136218019957
"131",131,84.8423718164493,58.8423718164493,33.8423718164493,2.71709296062516
"132",132,84.8422110955226,58.8422110955226,33.8422110955226,2.53823246561158
"133",133,84.8418110162329,58.8418110162328,33.8418110162328,2.09300269600596
"134",134,84.8412376438095,58.8412376438095,33.8412376438095,1.45493300253667
"135",135,84.8405703816041,58.8405703816041,33.8405703816041,0.712394432170812
"136",136,84.8398919335539,58.8398919335539,33.8398919335539,-0.0425749341028155
"137",137,84.8392788033216,58.8392788033216,33.8392788033216,-0.724844362790725
"138",138,84.8387933392466,58.8387933392466,33.8387933392466,-1.26504116996725
"139",139,84.8384780710552,58.8384780710552,33.8384780710552,-1.61584874685928
"140",140,84.8383527618758,58.8383527618758,33.8383527618758,-1.75528262486197
"141",141,84.838414258785,58.838414258785,33.838414258785,-1.68685393632669
"142",142,84.838638906366,58.8386389063661,33.8386389063661,-1.43688336663868
"143",143,84.8389870240014,58.8389870240014,33.8389870240014,-1.04952089132868
"144",144,84.8394087631388,58.8394087631388,33.8394087631388,-0.58023092215119
